Alim_T_out_exp,Alim_T_out_phy,Alim_T_out_hrnn_oof,Ref_T_out_exp,Ref_T_out_phy,Ref_T_out_hrnn_oof,Flux_exp,Flux_phy,Flux_hrnn_oof
32.874,34.3154859,32.82767105102539,61.2422,60.68542786,62.40480422973633,1.123,1.16194643,1.3735229969024658
32.1568,34.27469687,31.95153045654297,61.9238,60.75913098,61.13136291503906,1.6835,1.647194055,1.6163139343261719
32.0083,34.14815323,31.754901885986328,61.8653,60.71685148,61.126930236816406,1.6835,1.649771479,1.6100293397903442
31.9878,34.13027436,31.717527389526367,61.8571,60.71668495,61.14037322998047,1.6865,1.648707037,1.6067743301391602
35.0677,36.68472164,34.565711975097656,64.2703,63.40108006,61.600250244140625,1.4734,1.790379386,1.389224648475647
34.8792,36.52151011,34.425498962402344,64.2502,63.35795179,61.731414794921875,1.4508,1.791303963,1.3559046983718872
34.9075,36.58941413,34.48357009887695,64.2326,63.34887058,61.65907669067383,1.4288,1.777690666,1.3279130458831787
34.1742,35.48282578,33.86841583251953,55.4281,54.62498974,55.51168441772461,0.916,1.187844722,0.9156454801559448
34.0578,35.39345019,33.777618408203125,55.4348,54.63064332,55.548187255859375,0.9152,1.197727563,0.9328089952468872
34.0134,35.35185012,33.76234817504883,55.406,54.59056192,55.57521057128906,0.9152,1.193352523,0.9223631620407104
33.9291,35.11349513,33.84502029418945,65.1912,64.83802275,64.00425720214844,0.8343,1.177714606,0.8729506731033325
33.9478,35.15837439,33.89297866821289,65.196,64.82572072,63.93778991699219,0.827,1.165312486,0.84859299659729
33.9711,35.127111,33.87024688720703,65.2201,64.79755351,63.86754608154297,0.827,1.158073045,0.832490086555481
33.2443,34.16555244,33.39614486694336,56.2766,55.86081083,56.84463119506836,0.5391,0.8013071598,0.6109378933906555
33.228,34.17788529,33.420799255371094,56.2494,55.84049604,56.84136962890625,0.5209,0.796094392,0.5984823703765869
33.2018,34.12746187,33.410404205322266,56.2442,55.81619082,56.900569915771484,0.5069,0.7900657525,0.5759821534156799
37.5831,39.11249365,36.71347427368164,63.5963,62.82419786,60.871089935302734,0.9931,1.350731185,1.0451785326004028
37.5394,39.0324795,36.65171813964844,63.6099,62.79459138,60.91380310058594,0.9818,1.358056755,1.061564326286316
37.3633,38.89391997,36.51369857788086,63.6019,62.7766719,61.03245544433594,0.9931,1.364281543,1.0615217685699463
35.5669,36.85636771,35.144744873046875,54.9426,54.11654856,55.78546142578125,0.6165,0.89298291,0.7233525514602661
35.6097,36.88269657,35.16962814331055,54.9271,54.11110937,55.76856231689453,0.6043,0.8907980796,0.7208643555641174
35.5364,36.80998816,35.116981506347656,54.9107,54.10277279,55.76449203491211,0.6161,0.8913274252,0.7138811349868774
33.7448,34.72839547,33.949005126953125,55.6811,55.30373993,57.459014892578125,0.3043,0.5969295401,0.4747543931007385
33.7117,34.69399984,33.93168640136719,55.6815,55.29343884,57.473995208740234,0.3368,0.596336028,0.4713897109031677
33.6984,34.71035723,33.913516998291016,55.6824,55.30828866,57.44036102294922,0.3479,0.6013727568,0.4870411157608032
34.5407,35.77891646,34.327308654785156,64.5478,64.17597708,63.901580810546875,0.5752,0.9376285968,0.7562009692192078
34.5616,35.8162868,34.338218688964844,64.5647,64.20167589,63.87776565551758,0.5748,0.9440042366,0.7728817462921143
34.5906,35.73138068,34.270206451416016,64.7795,64.18007736,63.90011215209961,0.5752,0.9468948069,0.7780231833457947
33.3275,34.95169809,33.618648529052734,59.8693,58.95782402,60.17028045654297,0.8425,1.080464988,0.7724379897117615
33.2554,34.87570842,33.51644515991211,59.9096,58.98029511,60.22519302368164,0.857,1.098256278,0.8113517761230469
33.3336,34.97589105,33.56411361694336,59.9152,59.02769256,60.16271209716797,0.841,1.103748741,0.8296928405761719
32.495,33.68129926,32.819522857666016,64.4164,63.72719251,64.47074890136719,0.5929,0.9682123737,0.751920759677887
32.6122,33.76767095,32.84872055053711,64.4335,63.77126812,64.60003662109375,0.5899,0.9870435158,0.7980022430419922
32.5147,33.66390265,32.75590515136719,64.4553,63.78002094,64.67503356933594,0.6125,0.9921492501,0.8039618730545044
32.6922,34.19069326,33.01717758178711,54.3555,53.32032468,55.519195556640625,0.6373,0.9646561794,0.6968479156494141
32.636,34.15276994,32.98452377319336,54.323,53.30238914,55.51632308959961,0.655,0.9664773492,0.6990038752555847
32.6858,34.17587983,33.01044845581055,54.3223,53.30246825,55.50096893310547,0.6456,0.9635415711,0.6937963366508484
35.8754,37.50480347,35.23989486694336,63.2214,62.37538457,61.929443359375,0.9921,1.424994287,1.1416378021240234
36.0245,37.59554603,35.317909240722656,63.2724,62.43000382,61.90085983276367,1.0037,1.422009067,1.1312620639801025
35.9296,37.56395005,35.27421188354492,63.2705,62.40948287,61.92097854614258,0.9717,1.418125768,1.1169805526733398
32.8717,34.67306786,32.930667877197266,64.1361,62.86251796,63.14777755737305,1.3868,1.855268961,1.281227707862854
33.0437,34.76170336,32.99138641357422,64.1739,62.86614707,63.09556579589844,1.3473,1.841443292,1.2482376098632812
32.7292,34.46099956,32.794578552246094,64.1209,62.83929474,63.29060363769531,1.4075,1.878127714,1.325690746307373
31.1476,32.0880959,31.787965774536133,56.2171,55.46456333,57.71797180175781,0.536,0.8519401182,0.6409372091293335
31.0474,31.99389011,31.730751037597656,56.2084,55.43962243,57.7391242980957,0.5297,0.8503583459,0.6318135261535645
31.1745,32.11984398,31.86098289489746,56.2181,55.45706278,57.751182556152344,0.5152,0.8417418575,0.6137549877166748
31.7819,32.95274804,32.098854064941406,65.3306,64.5177309,64.14958190917969,0.8418,1.259225169,0.9408930540084839
31.6988,32.92794421,32.09718322753906,65.3195,64.51588776,64.13121795654297,0.827,1.25255532,0.9207208156585693
31.8418,33.04739492,32.19189453125,65.3106,64.50795402,64.09159851074219,0.8205,1.248124137,0.9175000190734863
33.8804,35.63993785,33.46000289916992,63.1533,61.86527173,63.720306396484375,1.1351,1.479872458,1.1921223402023315
33.9273,35.62317198,33.45093536376953,63.1444,61.85594593,63.74275207519531,1.06,1.476675026,1.1846144199371338
33.9467,35.63985072,33.46977615356445,63.1395,61.85091374,63.73796463012695,1.1504,1.471748125,1.173085331916809
31.6606,32.57904195,31.970640182495117,55.7049,54.96320715,57.44596862792969,0.396,0.6800002402,0.5622828006744385
31.5081,32.52677337,31.964317321777344,55.6224,54.92832723,57.43419647216797,0.5418,0.6755881512,0.5434067845344543
